disease,sii,ktp,rcc,log_papers,n_papers,mean_semantic_similarity
Acne_vulgaris,0.0013910419074818492,0.9991838932037354,0.007048164494335651,4.215161508294875,16412,0.892984
Acute_glomerulonephritis,0.001632543746381998,0.9988569617271423,0.006603907328099012,4.513843279231117,32647,0.888482
Acute_hepatitis,0.0013970434665679932,0.999090850353241,0.006603155750781298,5.022943609686901,105425,0.891991
Adverse_effects_of_medical_treatment,0.0009236311889253557,0.9994407892227173,0.00751708447933197,5.062062776687373,115362,0.895595
African_trypanosomiasis,0.002652810886502266,0.9985998868942261,0.007300170138478279,3.6852937813867843,4845,0.890459
Age-related_and_other_hearing_loss,0.0014369189739227295,0.9990764856338501,0.0071556163020431995,4.903100844218276,80002,0.896589
Alcohol_use_disorders,0.0017676412826403975,0.999144971370697,0.006683488842099905,4.591476434673244,39037,0.891039
Alopecia_areata,0.00147624674718827,0.9991047978401184,0.006488794926553965,3.6449307079135873,4415,0.888958
Alzheimer's_disease_and_other_dementias,0.0014890212332829833,0.9990776181221008,0.007225359324365854,5.310253485998792,204293,0.898687
Animal_contact,0.0017891174647957087,0.9987818598747253,0.007262870669364929,4.0090682761922185,10211,0.895296
Anxiety_disorders,0.002061313483864069,0.999101996421814,0.006286961492151022,4.7875454830624316,61312,0.892011
Aortic_aneurysm,0.001954616978764534,0.9987398982048035,0.006879290100187063,4.683821230045629,48286,0.894676
Appendicitis,0.0017849546857178211,0.9988091588020325,0.006629957351833582,4.207391977978488,16121,0.891224
Asthma,0.0012016785331070423,0.9992629885673523,0.007302391342818737,5.152890433966255,142197,0.898816
Atrial_fibrillation_and_flutter,0.0016972101293504238,0.9990116357803345,0.006728275679051876,5.006611495843435,101534,0.897652
Attention-deficit_hyperactivity_disorder,0.0021696758922189474,0.999022901058197,0.006137066055089235,4.652323713973758,44908,0.893809
Autism_spectrum_disorders,0.0017586875474080443,0.999085009098053,0.007318068295717239,4.976074731619874,94640,0.899
Bacterial_skin_diseases,0.0013951939763501287,0.9992071986198425,0.007676133885979652,4.154819436194173,14283,0.889429
